,스타일대분류,스타일소분류,맥주명,양조장명,제조국가명,도수,평균점수,리뷰수,평가수,현재상태,Full Name,Astringent,Body,Alcoholic,Bitter,Sweet,Sour,Salty,Fruity,Hoppy,Spices,Malty
0,Bocks,Bock,Shiner Bock,Spoetzl Brewery,United States,4.5,3.21,"1,218","3,288",Active,Shiner Bock Spoetzl Brewery,0.0,1.9,2.8,0.4,1.5,3.7,10.0,0.0,10.0,2.6,0.1
1,Bocks,Bock,Samuel Adams Chocolate Bock,Boston Beer Company (Samuel Adams),United States,5.8,3.64,"1,243","1,892",Active,Samuel Adams Chocolate Bock Boston Beer Company (Samuel Adams),1.1,1.1,1.1,0.8,0.8,0.2,0.0,0.4,0.6,0.1,1.1
2,Bocks,Bock,Michelob AmberBock,Anheuser-Busch,United States,5.2,2.91,724,"1,228",Active,Michelob AmberBock Anheuser-Busch,0.4,3.3,0.3,1.7,3.5,0.3,0.0,0.8,0.6,0.1,2.9
3,Bocks,Bock,Samuel Adams Cherry Chocolate Bock,Boston Beer Company (Samuel Adams),United States,5.8,3.46,188,686,Active,Samuel Adams Cherry Chocolate Bock Boston Beer Company (Samuel Adams),0.9,1.3,0.6,0.8,0.9,0.2,0.0,0.3,0.7,0.1,2.2
4,Bocks,Bock,St. Nikolaus Bock Bier,Pennsylvania Brewing Company,United States,6,3.94,225,218,Active,St. Nikolaus Bock Bier Pennsylvania Brewing Company,0.8,4.2,1.4,1.4,5.1,0.5,0.0,3.0,0.7,0.1,3.5
5,Bocks,Bock,Spring Bock,Saint Arnold Brewing Company,United States,6.9,3.63,160,257,Active,Spring Bock Saint Arnold Brewing Company,1.9,1.7,0.5,2.0,1.6,0.3,0.0,0.4,1.1,1.0,2.7
6,Bocks,Bock,Pandora's Bock,Breckenridge Brewery,United States,7.5,3.43,155,230,Active,Pandora's Bock Breckenridge Brewery,1.3,1.6,2.0,2.0,1.6,0.4,0.0,0.8,2.3,0.1,2.6
7,Bocks,Bock,Genesee Spring Bock,Genesee Brewing Co. / Dundee Brewing Co.,United States,5.2,3.47,169,184,Active,Genesee Spring Bock Genesee Brewing Co. / Dundee Brewing Co.,1.2,2.1,1.6,1.8,3.3,0.8,0.0,1.4,2.1,0.7,3.4
8,Bocks,Bock,Ur-Bock Dunkel,Einbecker Brauhaus,Germany,6.5,3.72,200,125,Active,Ur-Bock Dunkel Einbecker Brauhaus,1.3,1.8,0.7,1.4,1.9,0.4,0.0,0.5,1.8,0.1,2.3
9,Bocks,Bock,La Trappe Bockbier,Bierbrouwerij De Koningshoeven B.V.,Netherlands,7,3.98,124,180,Active,La Trappe Bockbier Bierbrouwerij De Koningshoeven B.V.,1.4,1.0,1.4,2.5,2.5,0.6,0.0,0.9,2.3,0.4,2.9
